Reading V:\BBB-Noten\01_Titel-Sorted
Missing_PDF;Instrument
"A Night In Tunisia (Sweeney)";"TBN3"
"Agua De Beber";"TBN2"
"Alice In Wonderland";"TBN2"
"All I Want For Christmas Is My Two Front Teeth";"TBN4"
"All Of You";"TBN1"
"All Of You";"TBN2"
"Alright, Okay, You Win (Nestico)";"TBN2"
"Alright, Okay, You Win (Nestico)";"TBN4"
"American Patrol";"TBN2"
"Another Lazy Day";"TBN4"
"Anthropology";"TBN2"
"Anything Goes";"TBN2"
"Attitude Dance";"TBN2"
"Autumn Bugle";"TBN2"
"Bad Leroy Brown (Kaiser)";"TBN2"
"Basically Blues";"TBN2"
"Beatles Forever";"TBN4"
"Begin The Beguine";"TBN2"
"Beyond The Sea";"TBN2"
"Birdland (Larry Kerchner)";"TBN2"
"Birdland (Sweeney)";"TBN2"
"Birdland (Sweeney)";"TBN3"
"Chameleon";"TBN2"
"Chattanooga Choo Choo";"TBN2"
"Children Of Sanchez (Tyzik)";"TBN2"
"Children Of Sanchez (Tyzik)";"TBN4"
"Close To You";"TBN2"
"Corazon";"TBN4"
"Coyote Cafe";"TBN2"
"Coyote Cafe";"TBN4"
"Cute";"TBN2"
"Cute";"TBN4"
"Dixie Medley";"TBN1"
"Dixie Medley";"TBN2"
"Don't Get Around Much anymore (Droste)";"TBN2"
"Don't Let The Sun Go Down On Me";"TBN2"
"Embraceable You (Blair)";"TBN2"
"Embraceable You (Blair)";"TBN4"
"Feliz Navidad - Last Christmas (G.Noris)";"TBN4"
"Fever";"TBN2"
"Fever";"TBN4"
"From A Distance";"TBN4"
"George Gershwin-Medley";"TBN2"
"Georgia On My Mind (Nestico)";"TBN2"
"Georgia On My Mind (Nestico)";"TBN3"
"Georgia On My Mind (Nestico)";"TBN4"
"Georgia On My Mind (Vocal Runhof - Ramsey)";"TBN2"
"Gospel Truth";"TBN2"
"Gospel Truth";"TBN4"
"Green Valleys";"TBN2"
"Green Valleys";"TBN3"
"Green Valleys";"TBN4"
"Ground Blues";"TBN2"
"Hallelujah I Love Her So (Taylor)";"TBN2"
"Hey Jude (Berry)";"TBN2"
"How About You (Female)";"TBN2"
"How About You (Male)";"TBN2"
"How Do You Keep The Music Playing";"TBN2"
"How High The Moon";"TBN2"
"How High The Moon";"TBN4"
"How Sweet It Is";"TBN2"
"I Remember Clifford";"TBN2"
"I Wish";"TBN2"
"I'll Be Home For Christmas";"TBN4"
"I've Got Another Rhythm";"TBN2"
"I've Got You Under My Skin (Ramsey)";"TBN2"
"Ich will keine Schokolade";"TBN4"
"In A Sentimental Mood (Berry)";"TBN1"
"In A Sentimental Mood (Berry)";"TBN2"
"In A Sentimental Mood (P.Schuett)";"TBN4"
"In A Small Town";"TBN2"
"In A Small Town";"TBN3"
"In A Small Town";"TBN4"
"In The Mood (Garland)";"TBN2"
"Island Groove (Wollmann)";"TBN4"
"John Brown´s Other Body (John Oddo)";"TBN4"
"Let It Snow - Santa Claus (G.Noris)";"TBN4"
"Let It Snow! Let It Snow! Let It Snow! (Frank Comstock)";"TBN4"
"Li'l Darling";"TBN2"
"Mambo Para Ti";"TBN2"
"Mean To Me";"TBN2"
"Mercy, Mercy, Mercy";"TBN2"
"Misty";"TBN2"
"Mood Indigo";"TBN2"
"Moonlight Serenade";"TBN2"
"Moten Swing (Wilkins)";"TBN2"
"My Romance (Taylor)";"TBN2"
"My Way (Kaiser)";"TBN2"
"New York, New York (Kaiser)";"TBN2"
"New York, New York (Vocal, LO)";"TBN4"
"On Broadway";"TBN2"
"Opening";"TBN2"
"Oye Como Va";"TBN2"
"Perdido (Keller)";"TBN2"
"Perdido (Wolpe)";"TBN2"
"Pink Panther";"TBN2"
"Pomp And Circumstance March No.1";"TBN4"
"Poppy Field";"TBN2"
"Porch Swingin'";"TBN2"
"Pra Dizer A Deus";"TBN2"
"Put Your Hand In The Hand";"TBN2"
"Quando, Quando, Quando";"TBN2"
"Route 66 (Ramsey)";"TBN2"
"Rule The Roost";"TBN2"
"Sagittarius Twice";"TBN2"
"Sam's Boogie";"TBN2"
"Satin Doll (Taylor)";"TBN2"
"Send In The Clowns";"TBN2"
"Sentimental Journey (Brown)";"TBN1"
"Sentimental Journey (Brown)";"TBN2"
"Sentimental Journey (Wolpe)";"TBN2"
"Shiny Stockings (Jungbluth)";"TBN2"
"Shiny Stockings (Jungbluth)";"TBN4"
"Sidewinder";"TBN2"
"Smack Dab In The Middle (Clayton)";"TBN2"
"Somewhere";"TBN2"
"Sportstudio";"TBN4"
"Stormy Monday";"TBN2"
"Swingin' Low";"TBN2"
"Take Another Step Baby";"TBN2"
"Tell Me What'd I Say";"TBN2"
"Tequila";"TBN2"
"The First Noel";"TBN4"
"The Girl From Ipanema";"TBN2"
"The Good Life";"TBN2"
"The Summer Knows";"TBN2"
"The Way You Look Tonight";"TBN2"
"The Way You Look Tonight (Roger Holmes)";"TBN2"
"The Way You Look Tonight (Roger Holmes)";"TBN4"
"This Masquerade";"TBN2"
"This Masquerade";"TBN4"
"Three Times A Lady";"TBN2"
"Unforgettable";"TBN2"
"Walking Out";"TBN2"
"Walking Out";"TBN3"
"Walking Out";"TBN4"
"Wave";"TBN2"
"What Am I Here For";"TBN2"
"When I Fall In Love";"TBN2"
"Where Or When";"TBN2"
"Willow Weep For Me (Harris)";"TBN2"
"Winter Wonderland";"TBN4"
"You Are The Sunshine Of My Life";"TBN2"
"You Go To My Head";"TBN2"
